Дополнение с амазонками для Total War Saga: Troy будет бесплатным до 8 октября,https://stopgame.ru/newsdata/44858,18 сентября 2020г., 7
"Raji: An Ancient Epic, временный эксклюзив Switch, обрёл дату релиза на других платформах",https://stopgame.ru/newsdata/44857,18 сентября 2020г., 1
Ремастер Need for Speed: Hot Pursuit получил возрастной рейтинг в Корее,https://stopgame.ru/newsdata/44856,18 сентября 2020г., 5
Рейтрейсинг и многие новинки Devil May Cry 5 Special Edition не доберутся до PC. Фанаты негодуют,https://stopgame.ru/newsdata/44855,18 сентября 2020г., 22
PC-версия Fortnite теперь поддерживает трассировку лучей,https://stopgame.ru/newsdata/44854,18 сентября 2020г., 5
"Sony подтвердила, что PlayStation 5 не поддерживает игры с PS1, PS2 и PS3",https://stopgame.ru/newsdata/44853,18 сентября 2020г., 36
Джоан Роулинг не принимает непосредственного участия в создании Hogwarts Legacy,https://stopgame.ru/newsdata/44852,18 сентября 2020г., 30
Magic: The Gathering Arena уже вернулась в Зендикар,https://stopgame.ru/newsdata/44851,17 сентября 2020г., 2
Мультиплеер Disintegration отключат 17 ноября — спустя пять месяцев после релиза игры,https://stopgame.ru/newsdata/44850,17 сентября 2020г., 16
Заключительный эпизод мультфильма по World of Warcraft: Shadowlands рассказывает о Ревендрете,https://stopgame.ru/newsdata/44849,17 сентября 2020г., 6
Первые 25 минут геймплея Crysis Remastered на PC,https://stopgame.ru/newsdata/44848,17 сентября 2020г., 20
Первый эпизод Life is Strange 2 стал бесплатным,https://stopgame.ru/newsdata/44847,17 сентября 2020г., 5
"Игры меньше, чем на Series X, поддержка до конца поколения — и другие детали об Xbox Series S",https://stopgame.ru/newsdata/44846,17 сентября 2020г., 22
«От бутлегерства до ограбления банка» — ролик о миссиях в ремейке Mafia,https://stopgame.ru/newsdata/44845,17 сентября 2020г., 3
"Две новые Monster Hunter, релиз Ori and the Will of the Wisps на Switch и другие вести из Nintendo Direct Mini",,17 сентября 2020г., 21
